Train_Number,Organisation,Seoul,Cheongnyangni,Sangbong,Deokso,Yangpyeong,Seowonju,Wonju,Jecheon,Danyang,Punggi,Yeongju,Andong,Uiseong,Yeongcheon,Gyeongju,Bugulsan,Taehwagang,Namchang,Gijang,Sinhaeundae,Centum,Bujeon,Frequency
701,KTX-이음,,05:40:00,05:46:30,,,,06:30:00,06:47:30,07:02:30,,07:19:00,07:34:00,,,08:19:00,,08:40:30,,,,,09:24:00,Everyday
703,KTX-이음,,06:27:00,,,06:54:30,07:18:00,07:24:00,07:40:00,07:55:30,08:07:30,08:16:30,08:31:30,08:44:00,,09:22:00,09:39:00,09:48:00,,,10:21:00,,10:34:00,Everyday
705,KTX-이음,08:57:00,09:18:00,,,,10:05:30,10:13:00,10:30:00,,,10:57:30,11:12:00,,,11:57:30,,12:18:30,,,,,13:01:00,Everyday
707,KTX-이음,10:59:00,11:20:30,,,11:47:30,12:11:00,12:18:30,12:36:00,12:50:30,13:02:30,13:11:30,13:26:30,,13:57:30,14:16:30,,14:39:00,,,15:12:00,,15:27:00,Everyday
709,KTX-이음,12:55:00,13:16:30,,,,14:03:30,14:10:30,14:27:00,14:41:30,,14:57:00,15:11:30,,,15:57:00,,16:18:00,,,,,17:00:00,Everyday
781,KTX-이음,,13:57:00,,14:11:00,,,14:47:00,15:04:30,,,15:31:30,15:46:30,,,16:31:00,,16:52:30,,,,,17:35:00,"Saturday, Sunday"
711,KTX-이음,,14:40:00,,,15:07:00,15:30:30,15:38:00,15:56:00,,,16:22:30,16:37:30,,17:08:30,17:27:30,17:44:30,17:51:30,,18:17:30,18:27:30,,18:41:00,Everyday
713,KTX-이음,16:11:00,16:32:00,,,16:58:30,17:22:30,17:30:30,17:48:00,18:03:30,18:14:30,18:22:30,18:38:00,18:50:00,,19:25:30,,19:46:30,19:59:00,,,20:25:30,20:36:00,Everyday
715,KTX-이음,,19:00:00,19:06:30,,,,19:49:30,20:06:30,20:21:00,20:32:30,20:41:30,20:56:30,,21:27:30,21:46:30,,22:08:00,,,22:40:00,,22:54:00,Everyday
717,KTX-이음,21:31:00,21:52:00,,,22:18:30,22:42:00,22:49:30,23:06:30,,23:28:30,23:37:30,23:51:00,,,,,,,,,,,Everyday
