Train_Number,Organisation,Busan,Gupo,Mulgeum,Miryang,Gyeongsan,Ulsan,Gyeongju,Dongdaegu,Seodaegu,Gimcheon(Gumi),Daejeon,Osong,Cheonan-Asan,PyeongtaekJije,Dongtan,Suseo,Gwangmyeong,Suwon,Yeongdeungpo,Seoul,Haengsin,Frequency
116,,,,,,,,,,,,05:55:00,06:12:30,06:25:30,,,,06:51:30,,,07:09:00,,Everyday
82,,04:45:00,,,,,05:08:00,05:20:00,05:38:30,,,06:21:30,,06:45:30,,,,07:11:30,,,07:29:00,,Monday
118,,,,,,,,,,,,06:35:00,06:52:30,07:05:30,,,,07:31:00,,,07:49:00,,"Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday"
166,,04:38:00,04:52:00,,05:17:30,,,,05:52:00,,,06:35:00,06:52:30,07:05:30,,,,07:31:00,,,07:49:00,,Monday
2,,05:09:00,,,,,05:32:00,,05:57:00,,06:20:00,06:45:30,,07:09:30,,,,07:35:30,,,07:53:00,,Everyday
4,,05:19:00,,,,,,05:47:30,06:06:30,,,06:49:30,07:07:00,,,,,07:39:30,,,07:57:00,,Everyday
6,,05:39:00,,,,,06:02:00,,06:27:00,,,07:10:00,07:27:30,07:40:30,,,,08:07:00,,,08:25:00,,Everyday
120,,,,,,,,,06:31:00,06:40:30,07:03:00,07:28:30,07:46:00,07:59:30,,,,08:25:30,,,08:43:00,,Everyday
192,KTX-Sancheon,06:01:00,,,,,06:24:00,06:37:00,06:55:30,,07:18:30,07:44:30,,08:10:00,,,,08:35:30,,,08:53:00,,Everyday
8,,06:09:00,,,,,06:32:00,06:44:00,07:02:30,,07:25:30,07:51:00,08:08:30,08:21:30,,,,08:47:00,,,09:05:00,,Everyday
84,,06:21:00,,,,,06:44:00,06:56:00,07:14:30,07:24:00,,08:06:00,08:23:30,08:36:30,,,,,,,09:16:00,,"Friday, Saturday, Sunday"
170,,06:36:00,,,,,06:59:00,07:11:00,07:29:30,,,08:14:00,,,,,,,09:25:30,09:47:30,09:58:00,,"Saturday, Sunday"
102,,06:11:00,06:25:00,06:35:30,06:55:30,07:22:00,,,07:33:00,,07:56:00,08:21:30,08:39:00,08:52:00,,,,09:17:30,,,09:35:00,,Everyday
10,,06:58:00,,,,,07:21:00,,07:46:00,,08:09:00,08:35:00,08:52:30,,,,,09:25:30,,,09:43:00,,Everyday
12,,07:22:00,,,,,07:45:00,07:57:00,08:15:30,08:25:00,,09:07:30,,09:33:00,,,,09:58:30,,,10:16:00,,Everyday
86,,07:48:00,,,,,08:11:00,,08:36:00,,08:59:00,09:24:30,09:42:00,09:55:00,,,,10:20:30,,,10:38:00,,"Friday, Saturday, Sunday"
14,,08:05:00,,,,,08:28:00,08:40:00,08:58:30,,09:21:30,09:47:00,,10:11:00,,,,,,,10:49:00,,Everyday
122,,08:20:00,,,,,08:43:00,,09:08:00,,,09:51:00,,,,,,,11:01:30,11:23:30,11:34:00,,Everyday
104,,08:01:00,08:15:00,08:25:30,08:45:30,,,,09:19:30,09:29:00,,10:11:30,10:29:00,,,,,11:01:30,,,11:19:00,,Everyday
16,,08:39:00,,,,,09:02:00,09:14:00,09:32:30,,,10:16:00,10:33:30,,,,,11:06:30,,,11:28:00,11:45:00,Everyday
18,,08:50:00,,,,,09:13:00,,09:38:00,,10:01:00,10:26:30,,,,,,11:10:30,,,11:28:00,,Everyday
20,,09:05:00,,,,,09:28:00,,09:53:00,,,10:36:00,10:53:30,11:06:30,,,,11:31:30,,,11:49:00,,Everyday
22,,09:26:00,,,,,,,10:07:00,10:16:30,,10:58:30,,,,,,,,,11:53:00,,Everyday
88,,09:37:00,,,,,10:00:00,,10:25:00,,10:48:00,11:13:30,,,,,,11:57:30,,,12:15:00,,"Friday, Saturday, Sunday"
188,KTX-Sancheon,09:37:00,,,,,10:00:00,,10:25:00,,10:48:00,11:13:30,,,,,,11:57:30,,,12:15:00,,"Monday, Tuesday, Thursday"
24,,09:49:00,,,,,10:12:30,10:24:30,10:43:00,,,11:26:00,,11:50:00,,,,12:15:30,,,12:33:00,,Everyday
172,,10:17:00,,,,,10:40:00,,11:05:00,,11:28:00,11:53:30,,,,,,,13:03:30,13:28:00,13:39:00,,"Friday, Saturday, Sunday"
26,,10:28:00,,,,,,,11:09:00,11:18:30,,12:00:30,,,,,,12:46:30,,,13:04:00,,Everyday
326,,10:33:00,,,,,10:56:00,11:08:00,11:26:30,,11:49:30,12:15:00,,12:39:00,,,13:08:00,,,,,,Everyday
