Train_Number,Organisation,Donghae,Mukho,Jeongdongjin,Gangneung,Jinbu(Odaesan),Pyeongchang,Dunnae,Hoengseong,Manjong,Seowonju,Yangpyeong,Deokso,Sangbong,Cheongnyangni,Seoul,Haengsin,Frequency
802,KTX-Ieum,,,,05:20:00,05:40:30,,05:55:30,,06:10:30,06:17:00,06:36:00,,,07:03:30,07:23:00,,Everyday
804,KTX-Ieum,,,,06:16:00,06:36:30,06:45:30,,07:00:30,07:10:00,07:20:00,07:42:30,,,08:11:30,08:31:00,,Everyday
806,KTX-Ieum,,,,07:28:00,,07:52:30,08:02:00,08:11:00,08:20:30,,08:43:00,,,09:10:30,09:30:00,,Everyday
840,KTX-Ieum,07:05:00,07:12:30,07:33:00,,08:03:00,08:11:30,08:21:30,,08:36:30,,08:58:30,,09:22:30,09:29:30,09:49:00,,Everyday
808,KTX-Ieum,,,,08:10:00,08:30:30,08:39:00,,08:54:00,09:03:00,09:12:00,,,,09:59:00,10:19:00,,Everyday
852,KTX-Ieum,,,,09:48:00,10:09:00,,10:24:00,,10:39:00,,,,,11:24:00,,,"Saturday, Sunday"
854,KTX-Ieum,,,,10:07:00,,10:31:30,,,10:51:30,,,,11:34:00,11:40:00,,,"Saturday, Sunday"
856,KTX-Ieum,,,,10:17:00,10:37:30,,,,11:02:30,11:12:00,,,,11:58:00,,,Everyday
810,KTX-Ieum,,,,10:35:00,,,,11:11:30,,11:24:30,,,,12:10:00,12:29:00,,Everyday
842,KTX-Ieum,10:04:00,10:11:30,10:32:30,,,11:06:30,11:16:30,,11:31:30,,11:53:30,,12:17:30,12:23:00,,,Everyday
858,KTX-Ieum,,,,10:59:00,,11:24:00,,,11:44:30,,12:06:30,,12:30:30,12:36:00,,,"Saturday, Sunday"
812,KTX-Ieum,,,,11:28:00,11:48:30,,12:03:30,,12:18:00,,12:40:00,,,13:07:30,13:27:00,,Everyday
814,KTX-Ieum,,,,12:23:00,12:43:30,12:52:30,,13:08:00,,13:23:00,13:45:00,,,14:13:30,14:33:00,,Everyday
884,KTX-Ieum,12:20:00,12:28:00,12:49:00,,,,,,13:43:00,,,,14:25:30,14:31:00,,,"Friday, Saturday, Sunday"
860,KTX-Ieum,,,,13:58:00,,,,,,14:41:00,15:00:00,,15:23:30,15:29:00,,,"Friday, Saturday, Sunday"
844,KTX-Ieum,14:02:00,14:10:00,14:30:30,,15:00:00,,,15:20:30,15:29:30,,15:51:30,,,16:19:30,16:39:00,,Everyday
816,KTX-Ieum,,,,15:37:00,,16:02:00,16:12:00,,,16:32:30,,,,17:21:30,17:41:00,,Everyday
862,KTX-Ieum,,,,16:00:00,16:21:00,,,,16:46:30,,,,,17:32:00,,,"Friday, Saturday, Sunday"
886,KTX-Ieum,15:40:00,15:48:00,16:08:30,,,,,,16:57:45,,,17:32:45,17:43:30,17:49:00,,,"Friday, Saturday, Sunday"
818,KTX-Ieum,,,,16:45:00,17:06:00,,17:21:00,,,17:38:00,,,18:17:30,18:24:30,18:44:00,,Everyday
820,KTX-Ieum,,,,17:01:00,17:22:00,17:31:00,,,17:51:30,18:01:00,18:23:00,,,18:51:30,19:13:00,,Everyday
864,KTX-Ieum,,,,17:27:00,,17:52:00,18:02:00,18:11:30,18:21:00,,,,19:03:30,19:09:00,,,"Monday, Tuesday, Wednesday, Thursday, Friday"
888,KTX-Ieum,16:45:00,16:52:30,17:13:30,,,17:52:00,18:02:00,18:11:30,18:21:00,,,,19:03:30,19:09:00,,,"Saturday, Sunday"
866,KTX-Ieum,,,,17:52:00,18:13:00,,,18:33:00,18:42:30,,19:05:00,,,19:31:00,,,"Friday, Saturday, Sunday"
868,KTX-Ieum,,,,18:23:00,,18:48:00,18:58:00,19:07:30,19:17:00,19:27:30,,,,20:15:00,,,Everyday
822,KTX-Ieum,,,,18:48:00,19:09:00,19:18:00,19:28:00,19:37:30,19:47:00,,20:09:00,,20:33:00,20:40:30,21:00:00,,Everyday
846,KTX-Ieum,19:04:00,19:11:30,19:32:30,,20:02:30,20:11:30,,20:26:30,20:36:00,,20:58:00,,21:22:00,21:29:30,21:49:00,,Everyday
870,KTX-Ieum,,,,20:04:00,20:24:30,20:33:00,20:42:30,20:52:00,,21:04:00,,21:35:00,21:46:30,21:52:00,,,"Friday, Saturday, Sunday"
824,KTX-Ieum,,,,20:30:00,,20:55:00,,21:10:30,21:19:30,,21:41:00,,22:05:00,22:12:30,22:32:00,,Everyday
826,KTX-Ieum,,,,21:33:00,,,22:03:30,,22:19:00,,,,,23:06:00,23:31:00,23:48:00,Everyday
872,KTX-Ieum,,,,22:00:00,22:21:00,22:30:00,,22:45:30,,,,,23:33:30,23:39:00,,,"Friday, Saturday, Sunday"
848,KTX-Ieum,21:32:00,21:39:30,22:00:00,,22:29:30,22:38:00,22:47:30,,23:02:00,,23:23:30,,,23:52:00,00:12:00,,Everyday
828,KTX-Ieum,,,,22:27:00,,22:52:00,,23:07:00,23:16:00,,,,23:58:00,00:05:30,00:25:00,,Everyday
