Train_Number,Organisation,Jinju,Masan,Changwon,Changwonjungang,Jinyeong,Miryang,Gyeongsan,Dongdaegu,Seodaegu,Gimcheon(Gumi),Daejeon,Osong,Cheonan-Asan,Gwangmyeong,Seoul,Haengsin,Frequency
202,KTX-Sancheon,,04:59:00,05:04:30,05:12:30,05:22:30,05:39:30,,06:17:00,,,07:00:00,,,07:43:30,08:01:00,,Everyday
204,KTX-Sancheon,06:10:00,06:35:30,06:41:30,06:50:00,07:00:30,07:17:30,,07:56:00,,08:19:00,08:44:30,09:02:00,,09:34:30,09:57:00,10:14:00,Everyday
206,KTX-Sancheon,08:56:00,09:21:30,,09:34:00,09:44:30,10:01:30,,10:39:00,,,11:22:30,,,12:07:30,12:25:00,,Everyday
208,KTX-Sancheon,09:59:00,10:25:00,10:31:00,10:39:30,,11:04:00,11:30:30,11:45:00,,,12:28:30,,12:53:30,13:18:30,13:36:00,,Everyday
282,KTX-Sancheon,11:19:00,11:44:30,,11:56:30,,12:21:00,,12:55:00,13:04:30,,13:47:30,,14:12:00,14:37:30,14:55:00,,"Friday, Saturday, Sunday"
210,,,12:42:00,,12:54:00,,13:18:30,,13:52:30,,,14:35:30,,15:00:00,,15:39:00,,Everyday
212,,12:51:00,13:17:00,13:23:00,13:32:30,13:43:00,,,14:30:30,14:40:00,,15:22:30,,,16:06:30,16:30:00,16:48:00,Everyday
214,,14:30:00,14:55:30,,15:07:30,,15:32:00,,16:06:00,,,16:49:00,,,17:32:30,17:50:00,,Everyday
284,KTX-Sancheon,15:22:00,15:48:00,,16:00:00,,16:24:30,,17:02:00,,17:25:00,17:50:30,18:08:00,,18:40:30,18:58:00,,"Friday, Saturday, Sunday"
4022,KTX-Sancheon,15:42:00,16:08:00,16:14:00,16:22:30,16:33:00,16:51:00,,17:30:00,,,18:13:30,,,19:00:30,19:18:00,,Everyday
216,,,16:40:00,16:46:00,16:55:00,17:05:30,,,17:54:30,18:04:30,18:27:00,18:52:30,,19:16:30,19:42:00,20:00:00,,Everyday
218,,17:36:00,18:01:30,,18:13:30,,18:38:00,,19:12:00,19:21:30,,20:04:00,,,20:47:30,21:05:00,,Everyday
286,KTX-Sancheon,,18:18:00,,18:30:00,18:40:30,18:57:30,,19:35:00,,19:58:00,20:23:30,20:41:00,,21:13:30,21:31:00,,"Friday, Saturday, Sunday"
4024,KTX-Sancheon,19:12:00,19:38:00,,19:50:00,20:00:30,20:18:30,,20:57:00,,,21:40:00,,22:04:00,22:29:30,22:47:00,,"Friday, Saturday, Sunday"
4026,KTX-Sancheon,19:09:00,19:35:00,,19:47:00,19:57:30,20:15:00,,20:52:30,,21:15:30,21:40:00,,22:04:00,22:29:30,22:47:00,,"Monday, Tuesday, Thursday"
220,KTX-Sancheon2,,19:57:00,20:03:00,,20:19:00,20:36:00,,21:10:00,21:19:30,,22:02:00,22:19:30,,22:54:30,23:12:00,,"Monday, Tuesday, Thursday"
4120,KTX-Sancheon,,19:57:00,20:03:00,,20:19:00,20:36:00,,21:10:00,21:19:30,,22:02:00,22:19:30,,22:54:30,23:12:00,,"Friday, Saturday, Sunday"
288,KTX-Sancheon,20:05:00,20:30:30,,20:42:30,,21:07:00,,21:41:30,,,22:24:30,22:42:00,22:55:00,,23:33:00,,"Friday, Saturday, Sunday"
222,KTX-Sancheon,,21:08:00,,21:20:00,,,,22:17:00,,,23:00:00,,23:24:00,23:49:30,00:11:00,00:28:00,Everyday
224,,,21:43:00,21:49:00,,,22:19:00,,22:53:00,,,23:36:00,,,00:20:30,00:38:00,,Everyday
