Train_Number,Organisation,Haengsin,Seoul,Gwangmyeong,Cheonan-Asan,Osong,Daejeon,Gimcheon(Gumi),Seodaegu,Dongdaegu,Gyeongsan,Miryang,Jinyeong,Changwonjungang,Changwon,Masan,Jinju,Frequency
201,KTX-Sancheon,,05:03:00,05:22:00,,,06:04:00,,,06:51:00,,07:24:00,07:42:30,07:54:00,08:02:30,08:09:00,08:33:00,Everyday
203,KTX-Sancheon,,05:38:00,05:57:00,06:19:30,06:32:00,06:49:00,,,07:36:00,07:47:15,08:14:00,,08:40:00,,08:52:00,09:16:00,Everyday
281,KTX-Sancheon,,06:03:00,06:22:00,06:44:30,06:57:00,07:14:00,07:38:30,,08:06:30,,08:39:30,08:58:00,,09:14:30,09:21:00,09:45:00,"Friday, Saturday, Sunday"
205,,,08:23:00,08:42:00,,09:10:30,09:29:30,,10:12:30,10:21:30,,10:54:00,,11:20:00,,11:32:00,11:56:00,Everyday
207,,,09:04:00,09:23:00,09:45:30,,10:11:00,10:35:30,,11:01:00,,11:34:00,11:52:30,,12:09:00,12:14:00,,Everyday
285,KTX-Sancheon,,09:28:00,09:47:30,,10:16:00,10:35:00,10:59:30,,11:27:30,,,,12:23:00,,12:35:00,12:59:00,"Friday, Saturday, Sunday"
209,,,10:07:00,10:26:30,10:49:00,,11:14:00,11:38:30,,12:03:30,12:14:45,12:41:30,,13:07:30,,13:19:00,13:43:00,Everyday
4021,KTX-Sancheon,10:21:00,10:43:00,11:02:00,11:24:30,11:37:00,11:54:00,,,12:41:00,,13:14:00,,13:40:00,,13:52:00,14:16:00,Everyday
211,,12:26:00,12:48:00,13:07:30,,13:36:00,13:55:00,,,14:40:00,,,15:28:00,15:39:30,15:48:00,15:53:00,,Everyday
213,,,13:38:00,,14:14:30,,14:39:00,,15:22:00,15:31:00,,16:03:30,,16:29:30,,16:41:00,17:05:00,"Friday, Saturday, Sunday"
225,,13:15:00,13:38:00,,14:14:30,,14:39:00,,15:22:00,15:31:00,,16:03:30,,16:29:30,,16:41:00,17:05:00,"Monday, Tuesday, Thursday"
287,KTX-Sancheon,,14:28:00,14:47:00,15:09:30,,15:34:30,,,16:22:00,,16:55:00,17:13:30,17:25:00,,17:35:00,,"Friday, Saturday, Sunday"
283,KTX-Sancheon,,15:09:00,15:28:00,,15:56:30,16:15:30,,,17:02:30,,17:35:30,,18:01:30,18:10:00,18:17:00,18:41:00,"Friday, Saturday, Sunday"
4023,KTX-Sancheon,,15:23:00,,16:00:00,,16:23:00,,,17:07:00,,17:40:00,,18:06:00,18:14:30,18:21:00,18:45:00,"Monday, Tuesday, Thursday"
4027,KTX-Sancheon,,15:23:00,,16:00:00,,16:23:00,,,17:10:00,,17:43:00,,18:09:00,18:17:30,18:24:00,18:48:00,"Friday, Saturday, Sunday"
215,KTX-Sancheon2,,16:18:00,16:37:00,,17:05:30,17:24:30,,,18:11:30,,18:44:30,19:03:00,19:15:00,,19:25:00,,"Monday, Tuesday, Thursday"
4115,KTX-Sancheon,,16:18:00,16:37:00,,17:05:30,17:24:30,,,18:11:30,,18:44:30,19:03:00,19:15:00,,19:25:00,,"Friday, Saturday, Sunday"
217,KTX-Sancheon,,17:33:00,17:52:00,,18:20:30,18:39:30,19:04:00,,19:32:00,,,,,20:33:00,20:38:00,,Everyday
219,,17:40:00,18:03:00,18:22:30,18:45:00,,19:10:00,,19:53:00,20:02:00,,20:34:30,,21:01:00,,21:11:00,,Everyday
221,KTX-Sancheon,,20:38:00,20:57:00,21:19:30,21:32:00,21:49:00,,,22:36:00,,,23:25:00,23:36:30,23:45:00,23:52:00,00:16:00,Everyday
223,KTX-Sancheon,,22:08:00,22:27:00,,,23:09:00,23:33:30,,23:59:00,,00:32:00,,,01:03:00,01:08:00,,Everyday
