Train_Number,Haengsin,Seoul,Yongsan,Gwangmyeong,Cheonan-Asan,Osong,Gongju,Seodaejeon ,Gyeryong,Nonsan,Iksan,Jeonju,Namwon,Gokseong,Guryegu,Suncheon,Yeocheon,Yeosu-Expo,Frequency
501,,,05:08:00,05:25:30,,05:55:00,06:12:00,,,,06:35:00,06:51:30,07:18:30,,,07:49:30,08:03:00,08:11:00,Everyday
503,06:41:00,07:03:00,07:10:00,07:27:30,07:50:00,08:02:30,08:19:30,,,,08:39:30,08:56:00,09:23:00,,09:41:15,09:57:00,10:11:00,10:19:00,Everyday
4051,07:18:00,07:39:00,07:47:30,08:05:00,,,08:47:00,,,,09:10:00,09:27:00,09:54:00,,,10:25:00,10:39:00,10:47:00,"Friday, Saturday, Sunday"
581,,,07:43:00,08:01:00,,,,08:44:30,09:00:00,09:18:00,09:42:30,09:59:30,10:27:00,10:37:00,,11:01:00,11:15:00,11:23:00,Everyday
505,,,08:40:00,08:58:00,,09:27:30,09:44:30,,,,10:04:00,10:20:30,10:47:30,10:57:30,11:09:00,11:24:30,11:38:30,11:47:00,Everyday
507,09:24:00,09:45:00,09:53:00,10:11:00,10:33:30,10:46:00,11:03:00,,,,11:23:00,11:39:30,12:06:30,12:16:30,,12:40:30,12:54:00,13:02:00,Everyday
9507,09:24:00,09:45:00,09:53:00,10:11:00,10:33:30,10:46:00,11:03:00,,,,11:23:00,11:39:30,12:06:30,12:16:30,,12:40:30,12:54:00,13:02:00,"Friday, Saturday, Sunday"
585,,,10:04:00,10:22:00,10:44:30,,,11:11:00,11:26:00,11:44:00,12:09:00,12:25:00,,,,,,,Everyday
509,,,10:53:00,11:10:30,11:33:00,11:45:30,12:02:30,,,,12:22:30,12:39:00,13:06:00,,,13:37:00,13:51:00,13:59:00,Everyday
511,11:47:00,12:08:30,12:18:00,12:35:30,12:58:00,,13:23:00,,,,13:46:00,14:03:00,14:30:00,14:40:00,,15:04:00,,15:23:00,Everyday
543,12:17:00,,12:45:00,,,13:27:00,13:44:00,,,,14:07:00,14:24:00,14:51:00,,15:10:00,15:26:00,15:40:00,15:48:00,Everyday
587,,,12:11:00,12:29:30,12:53:00,,,13:19:00,13:34:00,13:51:30,14:16:30,14:32:00,,,,,,,Everyday
589,,,13:15:00,13:32:30,13:55:00,,,14:21:30,14:36:30,14:54:00,15:19:00,15:35:00,,,,,,,"Friday, Saturday, Sunday"
513,,,14:10:00,14:28:00,,14:57:30,15:14:30,,,,15:34:00,15:51:00,16:18:00,,,16:49:30,17:03:30,17:12:00,Everyday
583,,,14:38:00,14:56:00,15:18:30,15:31:00,,15:49:30,16:05:00,16:23:00,16:48:30,17:05:00,17:32:00,,17:50:45,18:06:30,18:20:00,18:28:00,"Monday, Tuesday, Thursday"
593,,,14:38:00,14:56:00,15:18:30,15:31:00,,15:49:30,16:05:00,16:23:00,16:51:00,17:07:30,17:34:30,,17:53:15,18:08:30,18:22:00,18:30:00,"Friday, Saturday, Sunday"
515,,16:35:00,16:43:00,17:00:30,17:23:00,,17:48:00,,,,18:11:00,18:27:30,18:54:30,19:04:30,19:16:00,19:31:30,19:45:30,19:54:00,Everyday
517,,17:37:00,17:44:00,,,18:26:00,18:43:00,,,,19:06:00,19:23:00,19:50:00,,,20:21:30,20:35:30,20:44:00,Everyday
519,18:21:00,,18:48:00,19:05:30,19:28:00,,19:53:00,,,,20:12:30,20:29:00,20:56:00,,21:14:45,21:30:00,21:44:00,21:52:00,Everyday
521,,,20:09:00,20:26:30,20:49:00,21:01:30,,,,,21:32:00,21:48:30,22:15:30,22:25:30,,22:49:30,23:03:30,23:12:00,Everyday
541,,,20:33:00,20:50:30,21:13:00,21:25:30,,,,,21:59:00,22:15:30,22:42:30,,,23:13:30,23:27:30,23:36:00,Everyday
523,,,21:48:00,22:05:30,,,,,,,22:59:30,23:16:00,23:43:00,,,00:14:00,00:28:00,00:36:00,Everyday
