Train_Number,Organisation,Bujeon,Centum,Sinhaeundae,Gijang,Namchang,Taehwagang,Bugulsan,Gyeongju,Yeongcheon,Uiseong,Andong,Yeongju,Punggi,Danyang,Jecheon,Wonju,Seowonju,Yangpyeong,Deokso,Sangbong,Cheongnyangni,Seoul,Frequency
702,KTX-Ieum,,,,,,,,,,,06:01:00,06:16:30,06:25:30,06:35:30,06:51:00,07:08:00,07:20:00,07:42:30,,,08:11:30,08:31:00,Everyday
704,KTX-Ieum,05:54:00,,06:09:00,,,06:41:30,,07:04:00,07:22:00,07:43:30,07:55:00,08:10:30,,08:27:00,08:43:00,09:00:00,09:12:00,,,,09:59:00,10:19:00,Everyday
706,KTX-Ieum,08:00:00,08:11:00,,08:24:30,,08:50:30,08:59:30,09:17:30,,,10:02:00,10:17:00,,,10:44:00,11:01:00,11:12:00,,,,11:58:00,,Everyday
708,KTX-Ieum,10:02:00,,,,10:35:30,10:50:00,,11:12:30,11:30:30,,12:01:30,12:17:00,12:26:00,12:38:00,12:53:30,13:11:00,13:23:00,13:45:00,,,14:13:30,14:33:00,Everyday
710,KTX-Ieum,12:07:00,,12:21:30,,,12:53:30,,13:16:00,,13:51:00,14:03:30,14:19:00,14:28:00,14:39:30,14:55:30,15:12:30,,15:34:30,,15:58:00,16:04:00,,Everyday
712,KTX-Ieum,13:29:00,,,,,14:13:00,,14:35:30,,,15:20:00,15:35:30,,,16:03:00,16:20:30,16:32:30,,,,17:21:30,17:41:00,Everyday
714,KTX-Ieum,14:43:00,,14:58:00,,,15:30:30,15:39:30,15:56:00,16:12:30,,16:43:30,16:59:00,,17:15:30,17:31:00,17:48:00,18:01:00,18:23:00,,,18:51:30,19:13:00,Everyday
716,KTX-Ieum,16:23:00,,,,,17:07:00,,17:29:30,,,18:14:30,18:30:30,,,18:57:30,19:14:30,19:27:30,,,,20:15:00,,Everyday
782,KTX-Ieum,17:27:00,,,,,18:11:00,,18:33:30,,,19:18:00,19:33:30,19:42:00,19:52:00,20:07:00,20:24:00,,,20:59:00,,21:13:00,,"Saturday, Sunday"
718,KTX-Ieum,19:12:00,,19:27:00,,,20:00:30,,20:22:00,,,21:07:00,21:22:30,,,21:49:30,22:07:00,,22:29:00,,22:52:30,22:58:00,,Everyday
