Train_Number,Haengsin,Seoul,Yeongdeungpo,Suwon,Gwangmyeong,Suseo,Dongtan,PyeongtaekJije,Cheonan-Asan,Osong,Daejeon,Gimcheon(Gumi),Seodaegu,Dongdaegu,Gyeongju,Ulsan,Gyeongsan,Miryang,Mulgeum,Gupo,Busan,Frequency
1,,05:13:00,,,05:32:00,,,,,,06:14:00,,,06:58:00,07:16:30,07:29:00,,,,,07:50:00,Everyday
161,,05:18:00,,,05:37:00,,,,,,06:19:00,,,07:03:30,,,,07:36:30,,08:03:00,08:16:00,Monday
3,,05:27:00,,,05:46:30,,,,06:09:00,,06:34:30,06:59:00,,07:24:00,07:42:30,07:55:00,,,,,08:16:00,Everyday
5,,05:58:00,,,06:17:00,,,,06:39:30,,07:04:30,,07:47:30,07:56:30,,08:22:00,,,,,08:43:00,Everyday
75,,06:03:00,,,06:22:00,,,,06:44:30,06:57:00,07:14:00,07:38:30,,08:03:30,,08:28:00,,,,,08:49:00,Everyday
7,06:11:00,06:33:00,,,06:52:30,,,,,07:21:00,07:40:00,08:04:30,,08:29:30,08:48:00,09:00:30,,,,,09:22:00,Everyday
9,,06:57:00,,,07:16:30,,,,07:39:30,07:52:00,08:09:00,,,08:53:00,,09:18:00,,,,,09:39:00,Everyday
11,07:01:00,07:27:00,,,07:46:00,,,,,08:14:30,08:32:30,08:57:00,,09:22:00,,,,,,,10:03:00,Everyday
171,,06:48:00,07:01:30,07:26:30,,,,,,,08:39:00,09:04:00,,09:29:00,,,,,,,10:09:00,"Friday, Saturday, Sunday"
13,,07:50:00,,,08:09:30,,,,,,08:49:30,,,09:33:30,09:52:00,10:04:30,,,,,10:26:00,Everyday
15,,07:58:00,,,08:17:00,,,,08:39:30,,09:04:30,09:29:00,,09:54:00,10:12:30,10:25:00,,,,,10:46:00,Everyday
191,,08:35:00,,,08:54:00,,,,,,09:36:00,,,10:24:00,,,,,,,11:04:00,Everyday
17,08:30:00,08:58:00,,,,,,,,,09:52:00,,,10:36:00,,,,,,,11:16:00,Everyday
121,,08:12:00,08:23:00,08:46:30,,,,,,,09:57:00,,,10:41:00,10:59:30,11:12:00,,,,,11:33:00,Everyday
101,,09:33:00,,,09:52:00,,,,10:14:30,10:27:00,10:44:00,,11:27:00,11:37:00,,,,12:09:30,12:29:30,12:40:30,12:53:00,Everyday
21,,09:58:00,,,10:17:00,,,,10:39:30,,11:04:30,11:29:00,,11:54:00,12:12:30,12:25:00,,,,,12:46:00,Everyday
163,,10:18:00,,,,,,,10:54:30,11:07:00,11:24:00,,12:07:00,12:16:00,,,,12:48:30,13:08:30,13:19:30,13:32:00,"Friday, Saturday, Sunday"
